Index   V(VIN_COMMON)         V(VQ)            V(VQB)      
109      2.18000000e-01    4.85680938e-01    4.99830903e-01
110      2.20000000e-01    4.83975618e-01    4.99804988e-01
111      2.22000000e-01    4.81999657e-01    4.99774775e-01
112      2.24000000e-01    4.79684781e-01    4.99739511e-01
113      2.26000000e-01    4.76933220e-01    4.99698307e-01
114      2.28000000e-01    4.73597208e-01    4.99650103e-01
115      2.30000000e-01    4.69437138e-01    4.99593642e-01
116      2.32000000e-01    4.64026360e-01    4.99527428e-01
117      2.34000000e-01    4.56503039e-01    4.99449668e-01
118      2.36000000e-01    4.44820959e-01    4.99358219e-01
119      2.38000000e-01    4.23503483e-01    4.99250496e-01
120      2.40000000e-01    3.82769711e-01    4.99123376e-01
121      2.42000000e-01    3.28014599e-01    4.98973066e-01
122      2.44000000e-01    2.90136467e-01    4.98794930e-01
123      2.46000000e-01    2.70146240e-01    4.98583256e-01
124      2.48000000e-01    2.57571854e-01    4.98330947e-01
125      2.50000000e-01    2.48485889e-01    4.98029076e-01
126      2.52000000e-01    2.41362119e-01    4.97666270e-01
127      2.54000000e-01    2.35481912e-01    4.97227783e-01
128      2.56000000e-01    2.30455076e-01    4.96694084e-01
129      2.58000000e-01    2.26047481e-01    4.96038580e-01
130      2.60000000e-01    2.22107985e-01    4.95223744e-01
131      2.62000000e-01    2.18533478e-01    4.94193989e-01
132      2.64000000e-01    2.15250520e-01    4.92861177e-01
133      2.66000000e-01    2.12204976e-01    4.91070575e-01
134      2.68000000e-01    2.09355808e-01    4.88500201e-01
135      2.70000000e-01    2.06671177e-01    4.84193225e-01
136      2.72000000e-01    2.04125891e-01    4.79518904e-03
137      2.74000000e-01    2.01699711e-01    4.32693545e-03
138      2.76000000e-01    1.99376098e-01    3.90744493e-03
139      2.78000000e-01    1.97141413e-01    3.53111064e-03
140      2.80000000e-01    1.94984269e-01    3.19307005e-03
141      2.82000000e-01    1.92895076e-01    2.88908694e-03
142      2.84000000e-01    1.90865688e-01    2.61545575e-03
143      2.86000000e-01    1.88889137e-01    2.36892343e-03
144      2.88000000e-01    1.86959424e-01    2.14662493e-03
145      2.90000000e-01    1.85071356e-01    1.94602968e-03
