pmos_width_wld_nandp, nmos_width_wld_nandn,pmos_width_wld_invp, nmos_width_wld_invn,length_wld
0.27e-6,0.18e-6,0.27e-6,0.09e-6,5.0e-8 
0.30e-6,0.20e-6,0.30e-6,0.25e-6,5.5e-8
