Index       TIME             V(Q7_3)          V(QB7_3)          V(VX7_3)           V(WL7)            V(WWLA)           V(WWLB)           V(SEL0)           V(SEL1)           V(BL3)           V(SA_IN1)          V(SAE)           V(SA_Q1)          V(SA_QB1)          V(Q7_3)           V(BL3)           V(SA_Q1)     
17       1.70000000e-10    3.57675944e-06    5.99998773e-01    5.99730822e-01    1.62008346e-03    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    2.06577168e-01    5.99974758e-01    0.00000000e+00    5.99975118e-01    4.99998872e-01    3.57675944e-06    2.06577168e-01    5.99975118e-01
18       1.80000000e-10    3.22320278e-06    5.99998823e-01    5.99714899e-01    1.58226115e-03    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    2.24260809e-01    5.99973644e-01    0.00000000e+00    5.99973988e-01    4.99998879e-01    3.22320278e-06    2.24260809e-01    5.99973988e-01
19       1.90000000e-10    2.89298126e-06    5.99998874e-01    5.99698982e-01    1.54392417e-03    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    2.41930332e-01    5.99972532e-01    0.00000000e+00    5.99972861e-01    4.99998887e-01    2.89298126e-06    2.41930332e-01    5.99972861e-01
20       2.00000000e-10    2.56275975e-06    5.99998924e-01    5.99683064e-01    1.50558718e-03    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    2.59599855e-01    5.99971420e-01    0.00000000e+00    5.99971733e-01    4.99998894e-01    2.56275975e-06    2.59599855e-01    5.99971733e-01
21       2.10000000e-10    2.46277647e-06    5.99998955e-01    5.99667193e-01    1.46801632e-03    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    2.76841236e-01    5.99970347e-01    0.00000000e+00    5.99970646e-01    4.99998899e-01    2.46277647e-06    2.76841236e-01    5.99970646e-01
22       2.20000000e-10    2.59808179e-06    5.99998965e-01    5.99651368e-01    1.43122839e-03    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    2.93645082e-01    5.99969316e-01    0.00000000e+00    5.99969601e-01    4.99998902e-01    2.59808179e-06    2.93645082e-01    5.99969601e-01
23       2.30000000e-10    2.73338711e-06    5.99998975e-01    5.99635544e-01    1.39444047e-03    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    3.10448929e-01    5.99968284e-01    0.00000000e+00    5.99968556e-01    4.99998904e-01    2.73338711e-06    3.10448929e-01    5.99968556e-01
24       2.40000000e-10    2.86878242e-06    5.99998986e-01    5.99619719e-01    1.35766939e-03    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    3.27247560e-01    5.99967253e-01    0.00000000e+00    5.99967512e-01    4.99998907e-01    2.86878242e-06    3.27247560e-01    5.99967512e-01
25       2.50000000e-10    3.02083114e-06    5.99998985e-01    5.99603899e-01    1.32401702e-03    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    3.43081089e-01    5.99966279e-01    0.00000000e+00    5.99966529e-01    4.99998910e-01    3.02083114e-06    3.43081089e-01    5.99966529e-01
26       2.60000000e-10    3.17287985e-06    5.99998984e-01    5.99588078e-01    1.29036464e-03    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    3.58914619e-01    5.99965304e-01    0.00000000e+00    5.99965547e-01    4.99998913e-01    3.17287985e-06    3.58914619e-01    5.99965547e-01
27       2.70000000e-10    3.32492856e-06    5.99998984e-01    5.99572258e-01    1.25671227e-03    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    3.74748149e-01    5.99964330e-01    0.00000000e+00    5.99964564e-01    4.99998915e-01    3.32492856e-06    3.74748149e-01    5.99964564e-01
28       2.80000000e-10    3.44577753e-06    5.99998982e-01    5.99556432e-01    1.22249146e-03    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    3.89935541e-01    5.99963366e-01    0.00000000e+00    5.99963596e-01    4.99998917e-01    3.44577753e-06    3.89935541e-01    5.99963596e-01
29       2.90000000e-10    3.53738210e-06    5.99998980e-01    5.99540602e-01    1.18773786e-03    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    4.04517292e-01    5.99962412e-01    0.00000000e+00    5.99962641e-01    4.99998918e-01    3.53738210e-06    4.04517292e-01    5.99962641e-01
30       3.00000000e-10    3.62898667e-06    5.99998978e-01    5.99524771e-01    1.15298426e-03    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    4.19099043e-01    5.99961457e-01    0.00000000e+00    5.99961686e-01    4.99998919e-01    3.62898667e-06    4.19099043e-01    5.99961686e-01
31       3.10000000e-10    3.71833873e-06    5.99998976e-01    5.99508940e-01    1.11805150e-03    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    4.33633199e-01    5.99960502e-01    0.00000000e+00    5.99960730e-01    4.99998920e-01    3.71833873e-06    4.33633199e-01    5.99960730e-01
32       3.20000000e-10    3.72643835e-06    5.99998973e-01    5.99493094e-01    1.07665633e-03    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    4.46450498e-01    5.99959524e-01    0.00000000e+00    5.99959759e-01    4.99998919e-01    3.72643835e-06    4.46450498e-01    5.99959759e-01
33       3.30000000e-10    3.73453796e-06    5.99998971e-01    5.99477248e-01    1.03526117e-03    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    4.59267798e-01    5.99958547e-01    0.00000000e+00    5.99958788e-01    4.99998918e-01    3.73453796e-06    4.59267798e-01    5.99958788e-01
34       3.40000000e-10    3.74263757e-06    5.99998968e-01    5.99461403e-01    9.93866002e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    4.72085098e-01    5.99957569e-01    0.00000000e+00    5.99957817e-01    4.99998917e-01    3.74263757e-06    4.72085098e-01    5.99957817e-01
35       3.50000000e-10    3.73494782e-06    5.99998966e-01    5.99445555e-01    9.48073465e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    4.83671016e-01    5.99956574e-01    0.00000000e+00    5.99956828e-01    4.99998915e-01    3.73494782e-06    4.83671016e-01    5.99956828e-01
36       3.60000000e-10    3.71368685e-06    5.99998966e-01    5.99429707e-01    8.98501314e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    4.94198541e-01    5.99955563e-01    0.00000000e+00    5.99955823e-01    4.99998914e-01    3.71368685e-06    4.94198541e-01    5.99955823e-01
37       3.70000000e-10    3.69242588e-06    5.99998965e-01    5.99413858e-01    8.48929162e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.04726065e-01    5.99954553e-01    0.00000000e+00    5.99954818e-01    4.99998912e-01    3.69242588e-06    5.04726065e-01    5.99954818e-01
38       3.80000000e-10    3.67412761e-06    5.99998964e-01    5.99398010e-01    7.99201332e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.15132603e-01    5.99953543e-01    0.00000000e+00    5.99953813e-01    4.99998911e-01    3.67412761e-06    5.15132603e-01    5.99953813e-01
39       3.90000000e-10    3.71386039e-06    5.99998967e-01    5.99382176e-01    7.46424178e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.23169343e-01    5.99952536e-01    0.00000000e+00    5.99952803e-01    4.99998911e-01    3.71386039e-06    5.23169343e-01    5.99952803e-01
40       4.00000000e-10    3.75359317e-06    5.99998969e-01    5.99366343e-01    6.93647025e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.31206082e-01    5.99951528e-01    0.00000000e+00    5.99951792e-01    4.99998911e-01    3.75359317e-06    5.31206082e-01    5.99951792e-01
41       4.10000000e-10    3.79332595e-06    5.99998971e-01    5.99350510e-01    6.40869871e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.39242822e-01    5.99950521e-01    0.00000000e+00    5.99950782e-01    4.99998911e-01    3.79332595e-06    5.39242822e-01    5.99950782e-01
42       4.20000000e-10    3.88263183e-06    5.99998974e-01    5.99334688e-01    5.90344891e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.45998470e-01    5.99949542e-01    0.00000000e+00    5.99949795e-01    4.99998913e-01    3.88263183e-06    5.45998470e-01    5.99949795e-01
43       4.30000000e-10    4.01098718e-06    5.99998977e-01    5.99318876e-01    5.41593980e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.51744984e-01    5.99948585e-01    0.00000000e+00    5.99948827e-01    4.99998915e-01    4.01098718e-06    5.51744984e-01    5.99948827e-01
44       4.40000000e-10    4.13934252e-06    5.99998980e-01    5.99303064e-01    4.92843070e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.57491499e-01    5.99947628e-01    0.00000000e+00    5.99947859e-01    4.99998917e-01    4.13934252e-06    5.57491499e-01    5.99947859e-01
45       4.50000000e-10    4.27132575e-06    5.99998982e-01    5.99287252e-01    4.44713879e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.63108307e-01    5.99946676e-01    0.00000000e+00    5.99946896e-01    4.99998920e-01    4.27132575e-06    5.63108307e-01    5.99946896e-01
46       4.60000000e-10    4.45138027e-06    5.99998984e-01    5.99271453e-01    4.04822782e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.67006444e-01    5.99945800e-01    0.00000000e+00    5.99946004e-01    4.99998923e-01    4.45138027e-06    5.67006444e-01    5.99946004e-01
47       4.70000000e-10    4.63143480e-06    5.99998985e-01    5.99255653e-01    3.64931686e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.70904581e-01    5.99944923e-01    0.00000000e+00    5.99945112e-01    4.99998927e-01    4.63143480e-06    5.70904581e-01    5.99945112e-01
48       4.80000000e-10    4.81148932e-06    5.99998987e-01    5.99239853e-01    3.25040589e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.74802718e-01    5.99944047e-01    0.00000000e+00    5.99944220e-01    4.99998931e-01    4.81148932e-06    5.74802718e-01    5.99944220e-01
49       4.90000000e-10    4.99315084e-06    5.99998987e-01    5.99224055e-01    2.91068559e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.77913753e-01    5.99943219e-01    0.00000000e+00    5.99943378e-01    4.99998934e-01    4.99315084e-06    5.77913753e-01    5.99943378e-01
50       5.00000000e-10    5.17597140e-06    5.99998987e-01    5.99208258e-01    2.61365667e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.80457088e-01    5.99942428e-01    0.00000000e+00    5.99942572e-01    4.99998938e-01    5.17597140e-06    5.80457088e-01    5.99942572e-01
51       5.10000000e-10    5.35879197e-06    5.99998987e-01    5.99192461e-01    2.31662774e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.83000423e-01    5.99941636e-01    0.00000000e+00    5.99941766e-01    4.99998942e-01    5.35879197e-06    5.83000423e-01    5.99941766e-01
52       5.20000000e-10    5.53894925e-06    5.99998987e-01    5.99176664e-01    2.02790732e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.85458543e-01    5.99940851e-01    0.00000000e+00    5.99940967e-01    4.99998946e-01    5.53894925e-06    5.85458543e-01    5.99940967e-01
53       5.30000000e-10    5.69274921e-06    5.99998986e-01    5.99160863e-01    1.82141235e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.87073325e-01    5.99940132e-01    0.00000000e+00    5.99940236e-01    4.99998949e-01    5.69274921e-06    5.87073325e-01    5.99940236e-01
54       5.40000000e-10    5.84654917e-06    5.99998985e-01    5.99145063e-01    1.61491738e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.88688106e-01    5.99939413e-01    0.00000000e+00    5.99939505e-01    4.99998952e-01    5.84654917e-06    5.88688106e-01    5.99939505e-01
55       5.50000000e-10    6.00034914e-06    5.99998984e-01    5.99129262e-01    1.40842241e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.90302888e-01    5.99938693e-01    0.00000000e+00    5.99938774e-01    4.99998955e-01    6.00034914e-06    5.90302888e-01    5.99938774e-01
56       5.60000000e-10    6.12128056e-06    5.99998983e-01    5.99113456e-01    1.25653318e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.91452968e-01    5.99938015e-01    0.00000000e+00    5.99938087e-01    4.99998958e-01    6.12128056e-06    5.91452968e-01    5.99938087e-01
57       5.70000000e-10    6.22053343e-06    5.99998982e-01    5.99097648e-01    1.14065935e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.92296552e-01    5.99937365e-01    0.00000000e+00    5.99937430e-01    4.99998960e-01    6.22053343e-06    5.92296552e-01    5.99937430e-01
58       5.80000000e-10    6.31978631e-06    5.99998981e-01    5.99081839e-01    1.02478552e-04    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.93140136e-01    5.99936714e-01    0.00000000e+00    5.99936772e-01    4.99998962e-01    6.31978631e-06    5.93140136e-01    5.99936772e-01
59       5.90000000e-10    6.41903918e-06    5.99998980e-01    5.99066031e-01    9.08911684e-05    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.93983721e-01    5.99936064e-01    0.00000000e+00    5.99936115e-01    4.99998964e-01    6.41903918e-06    5.93983721e-01    5.99936115e-01
60       6.00000000e-10    6.51829205e-06    5.99998978e-01    5.99050222e-01    7.93037852e-05    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.94827305e-01    5.99935413e-01    0.00000000e+00    5.99935458e-01    4.99998966e-01    6.51829205e-06    5.94827305e-01    5.99935458e-01
61       6.10000000e-10    6.61754492e-06    5.99998977e-01    5.99034413e-01    6.77164020e-05    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.95670889e-01    5.99934763e-01    0.00000000e+00    5.99934800e-01    4.99998968e-01    6.61754492e-06    5.95670889e-01    5.99934800e-01
62       6.20000000e-10    6.71679779e-06    5.99998976e-01    5.99018605e-01    5.61290188e-05    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.96514474e-01    5.99934112e-01    0.00000000e+00    5.99934143e-01    4.99998970e-01    6.71679779e-06    5.96514474e-01    5.99934143e-01
